ID,Location,Province_State
6.928887303222247,Netherlands,Utrecht
7.060292689230817,Germany,Saxony
15.634466130967857,Netherlands,Bavaria
7.269293652253902,Netherlands,South Holland
,Netherlands,Utrecht
10.948241216062764,Germany,Nordrhein-Westfalen
9.467513825174688,Netherlands,North Holland
,Belgium,East Flanders
7.348704600793203,Netherlands,Liege
6.588037893900637,Netherlands,North Brabant
9.14684317855416,Germany,Nordrhein-Westfalen
,Netherlands,Gelderland
23.30722667841552,Netherlands,North Brabant
9.647006815143572,Germany,Nordrhein-Westfalen
7.360194408441056,Netherlands,North Brabant
9.16585239026453,Netherlands,Utrecht
8.354892921236475,Netherlands,North Brabant
11.06317233497596,Netherlands,West Flanders
8.062303332382136,Germany,Nordrhein-Westfalen
10.00435216434087,Belgium,West Flanders
7.4407924338886975,Belgium,Liege
6.617886471626159,Netherlands,Baden-Württemberg
7.848295348179244,Netherlands,South Holland
9.083660424034145,Netherlands,Bavaria
9.64411707482895,Netherlands,South Holland
7.578475157917968,Germany,Baden-Württemberg
8.976719587556753,Netherlands,South Holland
8.474757412260761,Belgium,East Flanders
9.153831585470796,Netherlands,North Holland
6.884223466860743,Netherlands,North Brabant
,Netherlands,South Holland
8.511633454241814,Belgium,Bavaria
10.645050557397902,Netherlands,North Holland
11.04732178609634,Netherlands,Utrecht
6.96839431448565,Netherlands,Gelderland
5.962306419048075,Netherlands,Baden-Württemberg
7.564716556509063,Netherlands,Bavaria
7.11031503608702,Germany,Nordrhein-Westfalen
10.728548034786836,Belgium,East Flanders
9.095604175405295,Netherlands,Baden-Württemberg
,Netherlands,Utrecht
8.111755694797768,Netherlands,North Brabant
8.532260380919194,Netherlands,Bavaria
8.332263093458966,Netherlands,South Holland
9.000114446346217,Belgium,Hesse
9.308444011574348,Germany,Nordrhein-Westfalen
9.719709190897117,Netherlands,Gelderland
2.495382483514149,Netherlands,North Brabant
8.389071525003448,Netherlands,North Holland
9.491145177569894,Netherlands,Utrecht
8.766360214094584,Netherlands,South Holland
7.196337095120866,Netherlands,Gelderland
9.870437939643466,Germany,Antwerp
6.504838956012614,Netherlands,North Brabant
9.3429633019926,Netherlands,South Holland
7.071844837530229,Netherlands,Gelderland
11.394292339625917,Germany,North Rhine-Westphalia
8.12925598460971,Netherlands,South Holland
7.370797462737869,Netherlands,North Holland
9.592914626136755,Netherlands,South Holland
8.499518000679553,Netherlands,Utrecht
9.217346078588294,Netherlands,North Brabant
7.782619356600754,Germany,Hesse
7.251637770602262,Netherlands,South Holland
8.286544573338967,Netherlands,Utrecht
8.280499334956643,Netherlands,North Holland
7.2897982972944835,Netherlands,Antwerp
10.075076106690648,Netherlands,Gelderland
8.861062779553302,Netherlands,West Flanders
9.230691209091509,Netherlands,South Holland
6.544947556594122,Netherlands,Hainaut
8.745148431110543,Netherlands,North Brabant
11.259422005006506,Netherlands,West Flanders
7.729204170533869,Germany,Bavaria
7.553585346995065,Germany,Bavaria
8.17801557426699,Netherlands,South Holland
8.82763746941479,Netherlands,South Holland
8.130510376892348,Netherlands,Utrecht
,Netherlands,North Holland
9.583109752427523,Netherlands,North Holland
10.547784669251271,Netherlands,North Brabant
10.270923496372234,Netherlands,Gelderland
6.374610060913705,Netherlands,North Brabant
8.0309239435393,Germany,Hesse
7.988595574680723,Netherlands,Utrecht
5.591358610610552,Netherlands,North Holland
7.769695833943949,Netherlands,Utrecht
5.978680400716411,Netherlands,North Brabant
6.726939245837681,Netherlands,Utrecht
7.521422229622123,Netherlands,Liege
,Netherlands,North Brabant
8.6589607993744,Belgium,Saxony
7.975337544774677,Netherlands,South Holland
7.287792097008285,Netherlands,Bavaria
7.897765196072345,Netherlands,North Brabant
9.086134014945872,Netherlands,Gelderland
8.237555879344132,Netherlands,North Holland
7.623477896507167,Netherlands,Gelderland
5.361616862440936,Netherlands,Liege
7.952918022394164,Netherlands,South Holland
8.107276028317903,Netherlands,Baden-Württemberg
8.134965918473613,Netherlands,North Holland
7.609839996448999,Belgium,North Rhine-Westphalia
7.115549971419528,Germany,Liege
8.625356429613364,Netherlands,North Brabant
9.317317630909503,Netherlands,North Holland
5.61674649333336,Netherlands,North Brabant
8.952260932666057,Netherlands,South Holland
6.50256702945997,Netherlands,North Brabant
7.374564597106316,Belgium,East Flanders
8.140314524927524,Netherlands,North Holland
5.216969506219927,Netherlands,West Flanders
9.014427880850125,Belgium,Hesse
7.911889333229309,Netherlands,South Holland
9.593772685916676,Germany,West Flanders
10.169791446546013,Netherlands,North Brabant
4.899965289378303,Germany,Liege
10.315673869812416,Netherlands,Gelderland
9.794472709268325,Netherlands,West Flanders
5.416897797880646,Netherlands,Bavaria
8.38652649871868,Netherlands,Baden-Württemberg
