ID,Year_Birth,Education,Marital_Status
6.928887303222247,11.006834968744672,Basic,Widow
7.060292689230817,9.458273560181134,Graduation,Single
15.634466130967857,9.869803639137826,Basic,Widow
7.269293652253902,9.716781378009742,Postgraduation,Unknown
,10.85422327409284,Basic,Single
10.948241216062764,9.216660830805564,High School,Single
9.467513825174688,9.955803593631767,Graduation,Single
,9.676792754870783,Graduation,Married
7.348704600793203,7.417234088596929,High School,Divorced
6.588037893900637,9.354391313132512,Graduation,Married
9.14684317855416,8.964777005600288,PhD,Married
,9.128949943177467,Unknown,Widow
23.30722667841552,6.560911702041523,Basic,Married
9.647006815143572,8.82027392123903,College,Single
7.360194408441056,8.99371985335337,Graduation,Single
9.16585239026453,,College,Divorced
8.354892921236475,10.051189306735944,Graduation,Married
11.06317233497596,7.3841323154473235,Basic,Widow
8.062303332382136,,Graduation,Widow
10.00435216434087,7.055256542480972,College,Divorced
7.4407924338886975,9.673116717686389,Basic,Divorced
6.617886471626159,10.077321486355856,Graduation,Divorced
7.848295348179244,9.858391015874362,Basic,Divorced
9.083660424034145,8.059456092916125,Graduation,Single
9.64411707482895,9.933321027535886,Graduation,Misc
7.578475157917968,7.830251725592308,College,Single
8.976719587556753,10.304342267511606,College,Single
8.474757412260761,9.264643887134593,Graduation,Divorced
9.153831585470796,8.269842213817721,College,Single
6.884223466860743,11.097245806414689,Unknown,Widow
,8.959894489771782,Graduation,Divorced
8.511633454241814,9.128099449755473,High School,Married
10.645050557397902,10.213909414950212,Other,Divorced
11.04732178609634,,Basic,Single
6.96839431448565,8.979439400603288,College,Married
5.962306419048075,7.932548543422881,Graduation,Married
7.564716556509063,8.194662258605213,Graduation,Single
7.11031503608702,9.581768915545489,Graduation,Widow
10.728548034786836,11.27033921459618,PhD,Divorced
9.095604175405295,10.03103271505846,Graduation,Divorced
,8.36567682821047,Graduation,Married
8.111755694797768,10.83189881547291,High School,Widow
8.532260380919194,8.435703388215774,Graduation,Widow
8.332263093458966,11.075082149959806,High School,Single
9.000114446346217,9.405465579990024,Graduation,Widow
9.308444011574348,7.172066321717054,High School,Widow
9.719709190897117,9.692015098070316,College,Widow
2.495382483514149,10.401619330608636,Basic,Divorced
8.389071525003448,8.611617955767493,College,Divorced
